fileoff,w,h,dsc_off,data_size,palette_opaque_count,period16?,notes
0x344f40,48,48,0x36d314,1216,0,N,REJECT: pal_fail
0x345440,10,106,0x36d7f4,594,1,N,REJECT: pal_fail
0x3456c0,112,112,0x36da88,6336,1,N,REJECT: pal_fail
0x3472c0,26,26,0x36f67c,402,1,N,REJECT: pal_fail
0x347480,130,130,0x36f848,8514,0,N,REJECT: pal_fail
0x349900,70,70,0x371cbc,2514,1,N,REJECT: pal_fail
0x34a4c0,62,62,0x372888,1986,0,N,REJECT: pal_fail
0x353b80,40,40,0x37bf34,864,0,N,REJECT: pal_fail
0x35e400,18,18,0x3867d4,226,0,N,REJECT: pal_fail
0x35e940,36,36,0x386cfc,712,0,N,REJECT: pal_fail
0x35ec40,40,40,0x386ffc,864,1,Y,"REJECT: period16(c=0.86,peak=16)"
0x35efc0,40,40,0x387394,864,0,N,REJECT: pal_fail
0x360500,28,28,0x3888d8,456,3,Y,"REJECT: period16(c=0.88,peak=16);pal_fail"
0x362000,40,40,0x38a3b4,864,0,N,REJECT: pal_fail
0x3640c0,13,17,0x38c47c,183,0,Y,"REJECT: period16(c=0.99,peak=16);pal_fail"
0x3641c0,56,56,0x38c56c,1632,0,N,REJECT: pal_fail
0x364840,40,40,0x38cc14,864,0,N,REJECT: pal_fail
0x3664c0,24,24,0x38e874,352,0,Y,"REJECT: period16(c=0.95,peak=16);pal_fail"
0x366640,188,128,0x38ea14,12096,0,N,REJECT: pal_fail
0x3695c0,60,60,0x391974,1864,0,N,REJECT: pal_fail
0x369d40,13,17,0x3920fc,183,0,N,REJECT: pal_fail
0x36b740,112,112,0x393b14,6336,0,N,REJECT: pal_fail
0x36fa40,160,160,0x397e18,12864,0,N,REJECT: pal_fail
0x372cc0,48,48,0x39b074,1216,1,N,REJECT: pal_fail
0x3731c0,12,24,0x39b574,208,0,N,REJECT: pal_fail
0x3732c0,48,48,0x39b684,1216,1,N,REJECT: pal_fail
0x375a80,32,32,0x39de44,576,1,N,REJECT: pal_fail
0x376200,32,32,0x39e5b4,576,1,N,REJECT: pal_fail
0x37e680,48,74,0x3a6a34,1840,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x37edc0,256,256,0x3a71a4,32832,0,N,REJECT: pal_fail
0x39e5c0,64,64,0x3c6994,2112,0,N,REJECT: pal_fail
0x3a4c40,36,36,0x3cd000,712,0,N,REJECT: pal_fail;flat_nibble(0.973)
0x3a4f40,29,31,0x3cd2fc,529,0,N,REJECT: pal_fail
0x3a5180,28,28,0x3cd548,456,0,N,REJECT: pal_fail
0x3a5380,40,18,0x3cd73c,424,0,N,REJECT: pal_fail
0x3a5540,32,32,0x3cd91c,576,0,N,REJECT: pal_fail
0x3a57c0,120,120,0x3cdb74,7264,0,N,REJECT: pal_fail
0x3a9140,72,20,0x3d1514,784,0,N,REJECT: pal_fail;flat_nibble(0.974)
0x3a9480,54,54,0x3d1844,1522,0,N,REJECT: pal_fail;flat_nibble(0.975)
0x3a9a80,28,28,0x3d1e68,456,0,N,REJECT: flat_nibble(0.976)
0x3a9d00,24,24,0x3d20c4,352,0,N,REJECT: flat_nibble(0.979)
0x3a9e80,32,32,0x3d2254,576,0,N,REJECT: flat_nibble(0.978)
0x3aa100,128,128,0x3d24b4,8256,0,N,REJECT: flat_nibble(0.979)
0x3ac2c0,24,24,0x3d4680,352,0,N,REJECT: pal_fail;flat_nibble(0.979)
0x3ac440,32,32,0x3d4814,576,0,N,REJECT: pal_fail;flat_nibble(0.977)
0x3ac6c0,24,24,0x3d4a74,352,0,N,REJECT: pal_fail;flat_nibble(0.979)
0x3ac940,40,18,0x3d4cfc,424,0,N,REJECT: pal_fail;flat_nibble(0.983)
